,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare,counts mitigated
11,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,rescaling,6,False,False,0.3,1.0,"{'0x0': 216, '0x1': 120, '0x2': 150, '0x3': 226, '0x4': 344, '0x5': 212, '0x6': 157, '0x7': 575}","{'0x0': 0.10049918117513888, '0x1': 0.05337765975658367, '0x2': 0.07289065056028382, '0x3': 0.10913899284853187, '0x4': 0.17401330876948493, '0x5': 0.09817289239737509, '0x6': 0.06911353498476934, '0x7': 0.32279377950783245}"
12,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,evolution,7,False,False,0.3,1.0,"{'0x0': 241, '0x1': 271, '0x2': 222, '0x3': 388, '0x4': 152, '0x5': 190, '0x6': 269, '0x7': 267}","{'0x0': 0.1147051925138464, '0x1': 0.13262977766982761, '0x2': 0.10520404918285235, '0x3': 0.20943716060700707, '0x4': 0.06673698723971329, '0x5': 0.09189377136865845, '0x6': 0.1388699171726403, '0x7': 0.14052314424545462}"
13,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,rescaling,7,False,False,0.3,1.0,"{'0x0': 181, '0x1': 142, '0x2': 149, '0x3': 158, '0x4': 360, '0x5': 198, '0x6': 137, '0x7': 675}","{'0x0': 0.08061522645566618, '0x1': 0.06807538036813529, '0x2': 0.07487806077850805, '0x3': 0.06712387761162973, '0x4': 0.18447273169739453, '0x5': 0.08708206025181013, '0x6': 0.05537543157134277, '0x7': 0.3823772312655134}"
14,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,evolution,8,False,False,0.3,1.0,"{'0x0': 302, '0x1': 232, '0x2': 222, '0x3': 314, '0x4': 212, '0x5': 225, '0x6': 254, '0x7': 239}","{'0x0': 0.14659913905206043, '0x1': 0.11136970486320778, '0x2': 0.10695788075219255, '0x3': 0.1683772012257904, '0x4': 0.09740621052561654, '0x5': 0.11246924426865622, '0x6': 0.13066726199411138, '0x7': 0.1261533573183648}"
15,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,rescaling,8,False,False,0.3,1.0,"{'0x0': 177, '0x1': 141, '0x2': 135, '0x3': 205, '0x4': 395, '0x5': 164, '0x6': 152, '0x7': 631}","{'0x0': 0.07783399075893248, '0x1': 0.06735487863386674, '0x2': 0.06553538264542397, '0x3': 0.09540719921894497, '0x4': 0.20392828116755488, '0x5': 0.06901274154880602, '0x6': 0.06498397592041258, '0x7': 0.3559435501060585}"
16,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,evolution,9,False,False,0.3,1.0,"{'0x0': 318, '0x1': 176, '0x2': 184, '0x3': 400, '0x4': 187, '0x5': 213, '0x6': 338, '0x7': 184}","{'0x0': 0.15830353158749086, '0x1': 0.07844270718257018, '0x2': 0.08111258049828977, '0x3': 0.21985622263725135, '0x4': 0.08149617058411193, '0x5': 0.1088783860763326, '0x6': 0.18030529276684634, '0x7': 0.09160510866710696}"
17,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,rescaling,9,False,False,0.3,1.0,"{'0x0': 378, '0x1': 215, '0x2': 178, '0x3': 325, '0x4': 206, '0x5': 283, '0x6': 197, '0x7': 218}","{'0x0': 0.1892643920823512, '0x1': 0.09906563516914464, '0x2': 0.0762021510509705, '0x3': 0.16942170365226175, '0x4': 0.09996930903079583, '0x5': 0.15162126362948602, '0x6': 0.09978384079512002, '0x7': 0.11467170458987}"
18,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,evolution,10,False,False,0.3,1.0,"{'0x0': 370, '0x1': 161, '0x2': 214, '0x3': 365, '0x4': 208, '0x5': 187, '0x6': 316, '0x7': 179}","{'0x0': 0.18517919868677496, '0x1': 0.07138113491938754, '0x2': 0.0989280103471159, '0x3': 0.1998711620017283, '0x4': 0.09281922963400206, '0x5': 0.09466528550110896, '0x6': 0.16717096736704612, '0x7': 0.08998501154283618}"
19,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,rescaling,10,False,False,0.3,1.0,"{'0x0': 224, '0x1': 198, '0x2': 132, '0x3': 359, '0x4': 329, '0x5': 158, '0x6': 172, '0x7': 428}","{'0x0': 0.10402157596075905, '0x1': 0.09443942793533798, '0x2': 0.05912502090643787, '0x3': 0.18914974934832537, '0x4': 0.1664314146030061, '0x5': 0.07016152692082497, '0x6': 0.08164485777278264, '0x7': 0.23502642655252612}"
20,ceq42870c79flplhsis0,ibm_nairobi,2023-01-03 11:18:57.573585,evolution,11,False,False,0.3,1.0,"{'0x0': 293, '0x1': 181, '0x2': 300, '0x3': 336, '0x4': 225, '0x5': 185, '0x6': 286, '0x7': 194}","{'0x0': 0.1406480570419186, '0x1': 0.08392701960203863, '0x2': 0.14883328772030724, '0x3': 0.1819511415907422, '0x4': 0.10479295890299888, '0x5': 0.09246399322393448, '0x6': 0.14770557987103772, '0x7': 0.09967796204702224}"
