,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare,counts mitigated
10,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 656, '0x1': 204, '0x2': 114, '0x3': 200, '0x4': 167, '0x5': 429, '0x6': 147, '0x7': 83}","{'0x0': 0.34958255375793545, '0x1': 0.034245281200260866, '0x2': 0.03393181959909828, '0x3': 0.1560835738390714, '0x4': 0.03801913950925426, '0x5': 0.2380431354226594, '0x6': 0.11586408262259389, '0x7': 0.034230414049126495}"
11,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 531, '0x1': 305, '0x2': 142, '0x3': 163, '0x4': 228, '0x5': 390, '0x6': 143, '0x7': 98}","{'0x0': 0.26030421884232585, '0x1': 0.11212916332589686, '0x2': 0.07036688549833445, '0x3': 0.11361215574354216, '0x4': 0.0793438498673452, '0x5': 0.2062813760230402, '0x6': 0.106103781827743, '0x7': 0.05185856887177229}"
12,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 609, '0x1': 204, '0x2': 112, '0x3': 176, '0x4': 160, '0x5': 477, '0x6': 172, '0x7': 90}","{'0x0': 0.32242770661833625, '0x1': 0.04215339683346234, '0x2': 0.035826450857407446, '0x3': 0.13487662063269126, '0x4': 0.02388296395023413, '0x5': 0.2659315369935717, '0x6': 0.13876935798672566, '0x7': 0.03613196612757118}"
13,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 610, '0x1': 229, '0x2': 95, '0x3': 217, '0x4': 155, '0x5': 434, '0x6': 183, '0x7': 77}","{'0x0': 0.32920112200595697, '0x1': 0.043679010397733406, '0x2': 0.019270627205982226, '0x3': 0.16954372591747713, '0x4': 0.01758578970275488, '0x5': 0.24378316214263898, '0x6': 0.14952922563472604, '0x7': 0.027407336992730326}"
14,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 593, '0x1': 228, '0x2': 123, '0x3': 183, '0x4': 201, '0x5': 442, '0x6': 141, '0x7': 89}","{'0x0': 0.30689008171265647, '0x1': 0.05558845144514999, '0x2': 0.047891930579133206, '0x3': 0.138647072709289, '0x4': 0.061483667813343426, '0x5': 0.24325391624496748, '0x6': 0.10730065673921214, '0x7': 0.03894422275624835}"
15,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 602, '0x1': 236, '0x2': 119, '0x3': 183, '0x4': 195, '0x5': 412, '0x6': 148, '0x7': 105}","{'0x0': 0.31372969150715085, '0x1': 0.06137558211914537, '0x2': 0.0434449561142847, '0x3': 0.1373339874578133, '0x4': 0.056100549181691835, '0x5': 0.21861102700886179, '0x6': 0.11348296895918775, '0x7': 0.055921237651864394}"
16,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 523, '0x1': 201, '0x2': 88, '0x3': 146, '0x4': 194, '0x5': 577, '0x6': 186, '0x7': 85}","{'0x0': 0.27831594393648706, '0x1': 0.049126361627517344, '0x2': 0.022611795003513374, '0x3': 0.10969658610055752, '0x4': 0.03792459992933622, '0x5': 0.3302374901110551, '0x6': 0.1490719083910103, '0x7': 0.023015314900523144}"
17,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 599, '0x1': 238, '0x2': 97, '0x3': 206, '0x4': 162, '0x5': 448, '0x6': 190, '0x7': 60}","{'0x0': 0.321502477620569, '0x1': 0.05255064018915141, '0x2': 0.022016474310406597, '0x3': 0.15981462507826724, '0x4': 0.018912857655921773, '0x5': 0.2586823761827095, '0x6': 0.15581481239416448, '0x7': 0.010705736568809975}"
18,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 491, '0x1': 225, '0x2': 76, '0x3': 185, '0x4': 183, '0x5': 522, '0x6': 242, '0x7': 76}","{'0x0': 0.2644328441135874, '0x1': 0.05164712669382903, '0x2': 0.011349098335167822, '0x3': 0.14235753554788688, '0x4': 0.012214698860160501, '0x5': 0.29954415817125096, '0x6': 0.20045957743775944, '0x7': 0.017994960840357923}"
19,cer3g3oc7aa76laosflg,ibmq_jakarta,2023-01-04 20:58:54.045978,evolution,1,True,False,0.3,1.0,"{'0x0': 479, '0x1': 232, '0x2': 90, '0x3': 173, '0x4': 223, '0x5': 513, '0x6': 207, '0x7': 83}","{'0x0': 0.2503696783843534, '0x1': 0.0608387026423247, '0x2': 0.026426134504381693, '0x3': 0.1305674705242962, '0x4': 0.05011593558673778, '0x5': 0.2903240350349358, '0x6': 0.16526827067550065, '0x7': 0.026089772647469787}"
