,jobid,machine,date,sim type,nt,pauli twirling,dynamic decoupling,epsilon,mass,counts bare,counts mitigated
23,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142743,rescaling,12,False,False,0.3,2.0,"{'0x0': 453, '0x1': 97, '0x2': 352, '0x3': 90, '0x4': 482, '0x5': 109, '0x6': 340, '0x7': 77}","{'0x0': 0.1314225330243192, '0x1': 0.13372219240996158, '0x2': 0.09082243612507496, '0x3': 0.13172673709628024, '0x4': 0.13867102743070964, '0x5': 0.15763205858282106, '0x6': 0.10110553452037474, '0x7': 0.11489748081045857}"
24,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142753,evolution,13,False,False,0.3,2.0,"{'0x0': 402, '0x1': 99, '0x2': 423, '0x3': 117, '0x4': 387, '0x5': 69, '0x6': 398, '0x7': 105}","{'0x0': 0.1026794067865348, '0x1': 0.1372658380611144, '0x2': 0.10120209175628739, '0x3': 0.17188265305480177, '0x4': 0.1294725931772176, '0x5': 0.09522862662159792, '0x6': 0.10324877909335735, '0x7': 0.15902001144908878}"
25,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142764,rescaling,13,False,False,0.3,2.0,"{'0x0': 440, '0x1': 96, '0x2': 330, '0x3': 116, '0x4': 461, '0x5': 107, '0x6': 374, '0x7': 76}","{'0x0': 0.12733757944306529, '0x1': 0.1308823960791336, '0x2': 0.051808697455347934, '0x3': 0.17249459486112953, '0x4': 0.12890321390710313, '0x5': 0.15485913380302124, '0x6': 0.1210773034528569, '0x7': 0.11263708099834238}"
26,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142776,evolution,14,False,False,0.3,2.0,"{'0x0': 415, '0x1': 88, '0x2': 399, '0x3': 103, '0x4': 381, '0x5': 94, '0x6': 416, '0x7': 104}","{'0x0': 0.1211985807981182, '0x1': 0.12046231896128204, '0x2': 0.10046158268882462, '0x3': 0.14777650745076504, '0x4': 0.10199949147196187, '0x5': 0.13679462428053027, '0x6': 0.11443843116549723, '0x7': 0.15686846318302064}"
27,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142788,rescaling,14,False,False,0.3,2.0,"{'0x0': 416, '0x1': 106, '0x2': 376, '0x3': 104, '0x4': 402, '0x5': 103, '0x6': 374, '0x7': 119}","{'0x0': 0.10380431598989363, '0x1': 0.14724962439638906, '0x2': 0.08885096740626898, '0x3': 0.14841579927815543, '0x4': 0.10510370368324333, '0x5': 0.14963346244546877, '0x6': 0.07604484067179022, '0x7': 0.1808972861287905}"
28,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142798,evolution,15,False,False,0.3,2.0,"{'0x0': 380, '0x1': 80, '0x2': 382, '0x3': 120, '0x4': 410, '0x5': 109, '0x6': 405, '0x7': 114}","{'0x0': 0.11198921163827673, '0x1': 0.10694398015556657, '0x2': 0.07622298709207362, '0x3': 0.17702582731884006, '0x4': 0.10084282559006737, '0x5': 0.1564445213366281, '0x6': 0.09820574122982155, '0x7': 0.17232490563872604}"
29,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142809,rescaling,15,False,False,0.3,2.0,"{'0x0': 445, '0x1': 89, '0x2': 369, '0x3': 107, '0x4': 433, '0x5': 97, '0x6': 358, '0x7': 102}","{'0x0': 0.13594943854448757, '0x1': 0.12115132172974738, '0x2': 0.08270021039689378, '0x3': 0.15720006345503465, '0x4': 0.12557746954155632, '0x5': 0.13826032237276095, '0x6': 0.08489967577543552, '0x7': 0.1542614981840838}"
30,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142819,evolution,16,False,False,0.3,2.0,"{'0x0': 431, '0x1': 94, '0x2': 408, '0x3': 108, '0x4': 365, '0x5': 110, '0x6': 401, '0x7': 83}","{'0x0': 0.1241281697219832, '0x1': 0.12830340864354034, '0x2': 0.10158934807834627, '0x3': 0.1590090632148685, '0x4': 0.07474569275646958, '0x5': 0.16009124739652536, '0x6': 0.12866358370157407, '0x7': 0.12346948648669258}"
31,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142830,rescaling,16,False,False,0.3,2.0,"{'0x0': 449, '0x1': 102, '0x2': 363, '0x3': 99, '0x4': 439, '0x5': 91, '0x6': 362, '0x7': 95}","{'0x0': 0.12452883832045814, '0x1': 0.14153483834624336, '0x2': 0.08766958278165315, '0x3': 0.14481896392289664, '0x4': 0.13464102896282126, '0x5': 0.12917744925263214, '0x6': 0.09424906668147888, '0x7': 0.14338023173181635}"
32,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142847,evolution,17,False,False,0.3,2.0,"{'0x0': 457, '0x1': 97, '0x2': 372, '0x3': 101, '0x4': 395, '0x5': 93, '0x6': 394, '0x7': 91}","{'0x0': 0.1342773441974078, '0x1': 0.1336551368523173, '0x2': 0.08975291512580859, '0x3': 0.14810571033946113, '0x4': 0.10839937313541008, '0x5': 0.13303262392934295, '0x6': 0.11613496084280903, '0x7': 0.1366419355774431}"
33,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142857,rescaling,17,False,False,0.3,2.0,"{'0x0': 437, '0x1': 89, '0x2': 411, '0x3': 103, '0x4': 405, '0x5': 91, '0x6': 361, '0x7': 103}","{'0x0': 0.13100041390744344, '0x1': 0.1217032427905256, '0x2': 0.1093126937653769, '0x3': 0.15049657611369646, '0x4': 0.11691144491201119, '0x5': 0.12922749098261244, '0x6': 0.08535917947258478, '0x7': 0.15598895805574917}"
34,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142881,evolution,18,False,False,0.3,2.0,"{'0x0': 462, '0x1': 93, '0x2': 375, '0x3': 92, '0x4': 412, '0x5': 113, '0x6': 368, '0x7': 85}","{'0x0': 0.14078108967248112, '0x1': 0.1272913748904178, '0x2': 0.10075169311649283, '0x3': 0.13438163342712323, '0x4': 0.09716785879343807, '0x5': 0.16411573724972364, '0x6': 0.1083687364080186, '0x7': 0.12714187644230465}"
35,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142892,rescaling,18,False,False,0.3,2.0,"{'0x0': 425, '0x1': 99, '0x2': 399, '0x3': 90, '0x4': 417, '0x5': 102, '0x6': 353, '0x7': 115}","{'0x0': 0.11455016987459568, '0x1': 0.13712463792417803, '0x2': 0.11553521094717875, '0x3': 0.1268977253617917, '0x4': 0.11418313690462085, '0x5': 0.14820617111873569, '0x6': 0.06841090811092526, '0x7': 0.17509203975797394}"
36,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142914,evolution,19,False,False,0.3,2.0,"{'0x0': 392, '0x1': 102, '0x2': 392, '0x3': 97, '0x4': 452, '0x5': 97, '0x6': 385, '0x7': 83}","{'0x0': 0.09416443597024056, '0x1': 0.14199521509052224, '0x2': 0.10500659315847106, '0x3': 0.14187408670113846, '0x4': 0.13471536457709893, '0x5': 0.13901555675271074, '0x6': 0.11916384552863925, '0x7': 0.1240649022211788}"
37,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142925,rescaling,19,False,False,0.3,2.0,"{'0x0': 422, '0x1': 90, '0x2': 375, '0x3': 100, '0x4': 393, '0x5': 112, '0x6': 398, '0x7': 110}","{'0x0': 0.12351033810954043, '0x1': 0.12250299889720405, '0x2': 0.09140169087246469, '0x3': 0.14301426505008383, '0x4': 0.09019412199248673, '0x5': 0.1644130166988039, '0x6': 0.09860198299680001, '0x7': 0.1663615853826163}"
38,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142936,evolution,20,False,False,0.3,2.0,"{'0x0': 413, '0x1': 98, '0x2': 404, '0x3': 108, '0x4': 404, '0x5': 98, '0x6': 384, '0x7': 91}","{'0x0': 0.10996848966841569, '0x1': 0.13503520332842625, '0x2': 0.10007323410609538, '0x3': 0.15864592708527367, '0x4': 0.10846557058120983, '0x5': 0.14063848052969238, '0x6': 0.11061949990265242, '0x7': 0.1365535947982344}"
39,ceq5tnbu4l1fkdjq6esg,ibmq_jakarta,2023-01-03 11:00:30.142946,rescaling,20,False,False,0.3,2.0,"{'0x0': 439, '0x1': 97, '0x2': 408, '0x3': 105, '0x4': 387, '0x5': 90, '0x6': 372, '0x7': 102}","{'0x0': 0.12433686016676686, '0x1': 0.13374606970067696, '0x2': 0.10556107553928391, '0x3': 0.1535224889055783, '0x4': 0.10819838311533647, '0x5': 0.12782643112496384, '0x6': 0.09252569074799066, '0x7': 0.15428300069940293}"
